waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,recycling_rate,waste_disposed_of_tonne,year,index,material,energy_saved_kwh_tonne,oil_saved_barrel_tonne,total_energy_saved_kwh,total_oil_saved_barrels
plastic,579900.0,39100.0,0.07,540800.0,2003,0,plastic,5774 ,16 ,225763400.0,625600.0
nonferrous metal,93900.0,75800.0,0.81,18100.0,2003,3,nonferrous metal,14000 ,40 ,1061200000.0,3032000.0
paper cardboard,1084700.0,466200.0,0.43,618500.0,2003,4,paper cardboard,4100 ,11 ,1911420000.0,5128200.0
glass,65500.0,6200.0,0.09,59300.0,2003,1,glass,42 ,0.12 ,260400.0,744.0
ferrous metal,856700.0,799000.0,0.93,57700.0,2003,2,ferrous metal,642 ,1.8 ,512958000.0,1438200.0
paper cardboard,1132100.0,519900.0,0.46,612200.0,2004,4,paper cardboard,4100 ,11 ,2131590000.0,5718900.0
plastic,683100.0,74100.0,0.11,609000.0,2004,0,plastic,5774 ,16 ,427853400.0,1185600.0
nonferrous metal,86900.0,71800.0,0.83,15100.0,2004,3,nonferrous metal,14000 ,40 ,1005200000.0,2872000.0
ferrous metal,720200.0,649900.0,0.9,70300.0,2004,2,ferrous metal,642 ,1.8 ,417235800.0,1169820.0
glass,73600.0,4900.0,0.07,68700.0,2004,1,glass,42 ,0.12 ,205800.0,588.0
glass,62600.0,3800.0,0.06,58800.0,2005,1,glass,42 ,0.12 ,159600.0,456.0
ferrous metal,818300.0,749100.0,0.92,69200.0,2005,2,ferrous metal,642 ,1.8 ,480922200.0,1348380.0
paper cardboard,1098600.0,540500.0,0.49,558100.0,2005,4,paper cardboard,4100 ,11 ,2216050000.0,5945500.0
plastic,674800.0,86000.0,0.13,588800.0,2005,0,plastic,5774 ,16 ,496564000.0,1376000.0
nonferrous metal,89400.0,74700.0,0.84,14700.0,2005,3,nonferrous metal,14000 ,40 ,1045800000.0,2988000.0
plastic,656800.0,77800.0,0.12,579000.0,2006,0,plastic,5774 ,16 ,449217200.0,1244800.0
paper cardboard,1116300.0,571400.0,0.51,544900.0,2006,4,paper cardboard,4100 ,11 ,2342740000.0,6285400.0
ferrous metal,725900.0,657400.0,0.91,68500.0,2006,2,ferrous metal,642 ,1.8 ,422050800.0,1183320.0
glass,63000.0,6400.0,0.1,56600.0,2006,1,glass,42 ,0.12 ,268800.0,768.0
nonferrous metal,86700.0,70700.0,0.82,16000.0,2006,3,nonferrous metal,14000 ,40 ,989800000.0,2828000.0
nonferrous metal,92300.0,75600.0,0.82,16700.0,2007,3,nonferrous metal,14000 ,40 ,1058400000.0,3024000.0
plastic,659800.0,75000.0,0.11,584800.0,2007,0,plastic,5774 ,16 ,433050000.0,1200000.0
paper cardboard,1202900.0,619000.0,0.51,583900.0,2007,4,paper cardboard,4100 ,11 ,2537900000.0,6809000.0
glass,65300.0,5800.0,0.09,59500.0,2007,1,glass,42 ,0.12 ,243600.0,696.0
ferrous metal,736500.0,668000.0,0.91,68500.0,2007,2,ferrous metal,642 ,1.8 ,428856000.0,1202400.0
nonferrous metal,85000.0,72000.0,0.85,13000.0,2008,3,nonferrous metal,14000 ,40 ,1008000000.0,2880000.0
paper cardboard,1262500.0,608600.0,0.48,653900.0,2008,4,paper cardboard,4100 ,11 ,2495260000.0,6694600.0
ferrous metal,784800.0,735000.0,0.94,49800.0,2008,2,ferrous metal,642 ,1.8 ,471870000.0,1323000.0
plastic,684400.0,61200.0,0.09,623200.0,2008,0,plastic,5774 ,16 ,353368800.0,979200.0
glass,57100.0,10000.0,0.18,47100.0,2008,1,glass,42 ,0.12 ,420000.0,1200.0
paper cardboard,1201000.0,574200.0,0.48,626800.0,2009,4,paper cardboard,4100 ,11 ,2354220000.0,6316200.0
nonferrous metal,57600.0,47500.0,0.82,10100.0,2009,3,nonferrous metal,14000 ,40 ,665000000.0,1900000.0
plastic,688900.0,60300.0,0.09,628600.0,2009,0,plastic,5774 ,16 ,348172200.0,964800.0
ferrous metal,872000.0,806200.0,0.92,65800.0,2009,2,ferrous metal,642 ,1.8 ,517580400.0,1451160.0
glass,73100.0,15600.0,0.21,57500.0,2009,1,glass,42 ,0.12 ,655200.0,1872.0
nonferrous metal,85500.0,73100.0,0.85,12400.0,2010,3,nonferrous metal,14000 ,40 ,1023400000.0,2924000.0
glass,79900.0,19200.0,0.24,60700.0,2010,1,glass,42 ,0.12 ,806400.0,2304.0
plastic,740400.0,78100.0,0.11,662300.0,2010,0,plastic,5774 ,16 ,450949400.0,1249600.0
paper cardboard,1383900.0,738200.0,0.53,645700.0,2010,4,paper cardboard,4100 ,11 ,3026620000.0,8120200.0
ferrous metal,1194600.0,1127500.0,0.94,67100.0,2010,2,ferrous metal,642 ,1.8 ,723855000.0,2029500.0
paper cardboard,1368200.0,765000.0,0.56,603200.0,2011,4,paper cardboard,4100 ,11 ,3136500000.0,8415000.0
glass,72800.0,21400.0,0.29,51400.0,2011,1,glass,42 ,0.12 ,898800.0,2568.0
ferrous metal,1239200.0,1171600.0,0.95,67600.0,2011,2,ferrous metal,642 ,1.8 ,752167200.0,2108880.0
plastic,733000.0,77000.0,0.11,656000.0,2011,0,plastic,5774 ,16 ,444598000.0,1232000.0
nonferrous metal,117300.0,102800.0,0.88,14500.0,2011,3,nonferrous metal,14000 ,40 ,1439200000.0,4112000.0
nonferrous metal,122500.0,97300.0,0.79,25200.0,2012,3,nonferrous metal,14000 ,40 ,1362200000.0,3892000.0
glass,74900.0,19500.0,0.26,55400.0,2012,1,glass,42 ,0.12 ,819000.0,2340.0
paper cardboard,1252000.0,696700.0,0.56,555300.0,2012,4,paper cardboard,4100 ,11 ,2856470000.0,7663700.0
plastic,803400.0,82100.0,0.1,721300.0,2012,0,plastic,5774 ,16 ,474045400.0,1313600.0
ferrous metal,1386000.0,1331200.0,0.96,54800.0,2012,2,ferrous metal,642 ,1.8 ,854630400.0,2396160.0
nonferrous metal,135100.0,114000.0,0.84,21100.0,2013,3,nonferrous metal,14000 ,40 ,1596000000.0,4560000.0
ferrous metal,1416000.0,1369200.0,0.97,46800.0,2013,2,ferrous metal,642 ,1.8 ,879026400.0,2464560.0
paper cardboard,1261100.0,679400.0,0.54,581700.0,2013,4,paper cardboard,4100 ,11 ,2785540000.0,7473400.0
plastic,832200.0,91100.0,0.11,741100.0,2013,0,plastic,5774 ,16 ,526011400.0,1457600.0
glass,73500.0,14600.0,0.2,58900.0,2013,1,glass,42 ,0.12 ,613200.0,1752.0
ferrous metal,1445900.0,1388900.0,0.96,57000.0,2014,2,ferrous metal,642 ,1.8 ,891673800.0,2500020.0
nonferrous metal,118400.0,94700.0,0.8,23700.0,2014,3,nonferrous metal,14000 ,40 ,1325800000.0,3788000.0
plastic,869000.0,80000.0,0.09,789000.0,2014,0,plastic,5774 ,16 ,461920000.0,1280000.0
paper cardboard,1237400.0,646500.0,0.52,590800.0,2014,4,paper cardboard,4100 ,11 ,2650650000.0,7111500.0
glass,79500.0,15700.0,0.2,63800.0,2014,1,glass,42 ,0.12 ,659400.0,1884.0
glass,75200.0,14600.0,0.19,60600.0,2015,1,glass,42 ,0.12 ,613200.0,1752.0
plastic,824600.0,57800.0,0.07,766800.0,2015,0,plastic,5774 ,16 ,333737200.0,924800.0
ferrous metal,1348500.0,1333300.0,0.99,15200.0,2015,2,ferrous metal,642 ,1.8 ,855978600.0,2399940.0
nonferrous metal,180000.0,160400.0,0.89,19600.0,2015,3,nonferrous metal,14000 ,40 ,2245600000.0,6416000.0
paper cardboard,1192200.0,603700.0,0.51,588500.0,2015,4,paper cardboard,4100 ,11 ,2475170000.0,6640700.0
paper cardboard,1183100.0,607100.0,0.51,576000.0,2016,4,paper cardboard,4100 ,11 ,2489110000.0,6678100.0
glass,72300.0,14700.0,0.2,57600.0,2016,1,glass,42 ,0.12 ,617400.0,1764.0
plastic,822200.0,59500.0,0.07,762700.0,2016,0,plastic,5774 ,16 ,343553000.0,952000.0
ferrous metal,1357500.0,1351500.0,0.99,6000.0,2016,2,ferrous metal,642 ,1.8 ,867663000.0,2432700.0
nonferrous metal,97200.0,95900.0,0.99,1300.0,2016,3,nonferrous metal,14000 ,40 ,1342600000.0,3836000.0
ferrous metal,1379000.0,1371000.0,0.99,8000.0,2017,2,ferrous metal,642 ,1.8 ,880182000.0,2467800.0
nonferrous metal,94000.0,92000.0,0.98,2000.0,2017,3,nonferrous metal,14000 ,40 ,1288000000.0,3680000.0
plastic,815000.0,52000.0,0.06,763000.0,2017,0,plastic,5774 ,16 ,300248000.0,832000.0
glass,71000.0,12000.0,0.17,59000.0,2017,1,glass,42 ,0.12 ,504000.0,1440.0
paper cardboard,1145000.0,569000.0,0.5,576000.0,2017,4,paper cardboard,4100 ,11 ,2332900000.0,6259000.0
nonferrous metal,171000.0,170000.0,0.99,2000.0,2018,3,nonferrous metal,14000 ,40 ,2380000000.0,6800000.0
ferrous metal,1269000.0,1260000.0,0.99,9000.0,2018,2,ferrous metal,642 ,1.8 ,808920000.0,2268000.0
paper cardboard,1054000.0,586000.0,0.56,467000.0,2018,4,paper cardboard,4100 ,11 ,2402600000.0,6446000.0
glass,64000.0,12000.0,0.19,52000.0,2018,1,glass,42 ,0.12 ,504000.0,1440.0
plastic,949000.0,41000.0,0.04,909000.0,2018,0,plastic,5774 ,16 ,236734000.0,656000.0
plastic,930000.0,37000.0,0.04,893000.0,2019,0,plastic,5774 ,16 ,213638000.0,592000.0
ferrous metal,1278000.0,1270000.0,0.99,8000.0,2019,2,ferrous metal,642 ,1.8 ,815340000.0,2286000.0
nonferrous metal,126000.0,124000.0,0.99,2000.0,2019,3,nonferrous metal,14000 ,40 ,1736000000.0,4960000.0
glass,75000.0,11000.0,0.14,64000.0,2019,1,glass,42 ,0.12 ,462000.0,1320.0
paper cardboard,1011000.0,449000.0,0.44,561000.0,2019,4,paper cardboard,4100 ,11 ,1840900000.0,4939000.0
glass,66000.0,7000.0,0.11,58000.0,2020,1,glass,42 ,0.12 ,294000.0,840.0
plastic,868000.0,36000.0,0.04,832000.0,2020,0,plastic,5774 ,16 ,207864000.0,576000.0
paper cardboard,1144000.0,432000.0,0.38,712000.0,2020,4,paper cardboard,4100 ,11 ,1771200000.0,4752000.0
nonferrous metal,75000.0,73000.0,0.98,2000.0,2020,3,nonferrous metal,14000 ,40 ,1022000000.0,2920000.0
ferrous metal,934000.0,930000.0,0.99,4000.0,2020,2,ferrous metal,642 ,1.8 ,597060000.0,1674000.0
ferrous metal,1312000.0,1306000.0,0.99,6000.0,2021,2,ferrous metal,642 ,1.8 ,838452000.0,2350800.0
paper cardboard,1136000.0,437000.0,0.39,699000.0,2021,4,paper cardboard,4100 ,11 ,1791700000.0,4807000.0
plastic,982000.0,58000.0,0.06,924000.0,2021,0,plastic,5774 ,16 ,334892000.0,928000.0
glass,74000.0,9000.0,0.13,65000.0,2021,1,glass,42 ,0.12 ,378000.0,1080.0
nonferrous metal,88000.0,87000.0,0.98,1000.0,2021,3,nonferrous metal,14000 ,40 ,1218000000.0,3480000.0
nonferrous metal,92000.0,91000.0,0.98,2000.0,2022,3,nonferrous metal,14000 ,40 ,1274000000.0,3640000.0
glass,73000.0,11000.0,0.14,63000.0,2022,1,glass,42 ,0.12 ,462000.0,1320.0
plastic,1001000.0,57000.0,0.06,944000.0,2022,0,plastic,5774 ,16 ,329118000.0,912000.0
ferrous metal,1338000.0,1331000.0,0.99,7000.0,2022,2,ferrous metal,642 ,1.8 ,854502000.0,2395800.0
paper cardboard,1064000.0,394000.0,0.37,671000.0,2022,4,paper cardboard,4100 ,11 ,1615400000.0,4334000.0
